Apartment,IPIP_1,IPIP_2,IPIP_3,IPIP_4,IPIP_5,IPIP_6,IPIP_7,IPIP_8,IPIP_9,IPIP_10,Sleep_schedule,Noise_sensitivity,Cleanliness,Cleanliness_2,Cooking_at_home,Guests_over,Smoking,Alcohol,Vibe,Chores,Conflict,FlatmateFactors_Priority,Compatibility_Importance,Compatibility_OverallRating,Compat_DailyRoutines,Compat_Tidiness,Compat_Noise,Compat_Interaction,Compat_Conflict,Compat_Relaxedness
B.24,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Agree,22:00-00:00,Neutral,Very important,Always,Never,Never,Non-smoker,Often,Social & lively,Do them when asked,"Be direct, even if uncomfortable",Reliability in shared spaces,Moderately,Moderately compatible,Disagree,Strongly disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly agree
B.13,Agree,Strongly agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,00:00-02:00,Neutral,Very important,Sometimes,Several times per week,Rarely,Non-smoker,Rarely,Balanced,Do my fair share,"Be direct, even if uncomfortable",Reliability in shared spaces,Very,Slightly compatible,Agree,Agree,Disagree,Strongly agree,Strongly agree,Agree
B.43,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,00:00-02:00,Neutral,Very important,Most of the time,Rarely,Once per week,Non-smoker,Rarely,Balanced,Do my fair share,Compromise quickly,Reliability in shared spaces,Slightly,Moderately compatible,Disagree,Agree,Strongly disagree,Agree,Agree,Strongly agree
D.14,Agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Before 22:00,Neutral,Very important,Often,Once per week,Never,Smoker,Rarely,Quiet & private,Do them when asked,Compromise quickly,Reliability in shared spaces,Very,Very compatible,Neither agree nor disagree,Agree,Agree,Strongly agree,Agree,Agree
A.53,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Disagree,Strongly disagree,Agree,Agree,Disagree,Disagree,Disagree,After 02:00,Somewhat insensitive,Extremely important,Most of the time,Rarely,A few times per month,Non-smoker,Rarely,Balanced,Do them when asked,Try to solve problems through discussion,Reliability in shared spaces,Very,Very compatible,Neither agree nor disagree,Agree,Agree,Strongly disagree,Strongly agree,Agree
D.22,Disagree,Disagree,Agree,Neither agree nor disagree,Strongly disagree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,22:00-00:00,Very insensitive,Very important,Sometimes,Several times per week,Rarely,Non-smoker,Often,Quiet & private,Do my fair share,Try to solve problems through discussion,Similar daily routines,Extremely,Moderately compatible,Neither agree nor disagree,Strongly agree,Disagree,Agree,Strongly agree,Disagree
A.31,Disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,After 02:00,Somewhat insensitive,Very important,Often,Several times per week,Never,Smoker,Rarely,Social & lively,Take responsibility for most,"Be direct, even if uncomfortable",Similar daily routines,Moderately,Very compatible,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Agree
A.43,Strongly disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Before 22:00,Very sensitive,Extremely important,Most of the time,Every day,Rarely,Non-smoker,Sometimes,Mostly private,Often take initiative,Avoid confrontation,Reliability in shared spaces,Slightly,Extremely compatible,Strongly disagree,Strongly disagree,Strongly agree,Agree,Strongly agree,Neither agree nor disagree
TU.52,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,22:00-00:00,Neutral,Very important,Rarely,Never,Never,Non-smoker,Rarely,Balanced,Often take initiative,Avoid confrontation,Respect for boundaries,Slightly,Extremely compatible,Strongly agree,Neither agree nor disagree,Strongly disagree,Agree,Disagree,Agree
B.14,Neither agree nor disagree,Strongly disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,22:00-00:00,Neutral,Moderately important,Often,Rarely,Never,Non-smoker,Often,Balanced,Do my fair share,Try to solve problems through discussion,Respect for boundaries,Slightly,Very compatible,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree
B.24,Strongly disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,22:00-00:00,Very sensitive,Extremely important,Often,Every day,Never,Non-smoker,Rarely,Balanced,Do my fair share,Avoid confrontation,Similar daily routines,Moderately,Moderately compatible,Neither agree nor disagree,Disagree,Agree,Disagree,Disagree,Disagree
B.42,Agree,Strongly disagree,Strongly agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,After 02:00,Somewhat insensitive,Very important,Most of the time,Never,Once per week,Non-smoker,Never,Mostly private,Do them when asked,Try to solve problems through discussion,Respect for boundaries,Slightly,Moderately compatible,Disagree,Strongly agree,Strongly disagree,Agree,Agree,Disagree
B.62,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Before 22:00,Somewhat insensitive,Very important,Most of the time,Once per week,A few times per month,Non-smoker,Very often,Mostly private,Avoid them,Try to solve problems through discussion,Reliability in shared spaces,Extremely,Slightly compatible,Strongly disagree,Disagree,Agree,Agree,Neither agree nor disagree,Strongly agree
C.23,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,00:00-02:00,Neutral,Extremely important,Rarely,Rarely,Rarely,Non-smoker,Very often,Social & lively,Do my fair share,Compromise quickly,Respect for boundaries,Extremely,Slightly compatible,Agree,Strongly disagree,Strongly agree,Disagree,Agree,Neither agree nor disagree
MO21,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,22:00-00:00,Somewhat sensitive,Very important,Often,Every day,Rarely,Non-smoker,Often,Quiet & private,Do my fair share,Compromise quickly,Shared interests / personality fit,Not at all,Moderately compatible,Neither agree nor disagree,Agree,Strongly disagree,Neither agree nor disagree,Agree,Neither agree nor disagree
FR.52,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,After 02:00,Neutral,Moderately important,Often,Several times per week,Rarely,Non-smoker,Sometimes,Quiet & private,Avoid them,Try to solve problems through discussion,Similar daily routines,Moderately,Slightly compatible,Disagree,Agree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree
C.53,Strongly agree,Disagree,Disagree,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,00:00-02:00,Neutral,Very important,Rarely,Once per week,Several times per week,Non-smoker,Often,Balanced,Do them when asked,Try to solve problems through discussion,Reliability in shared spaces,Very,Moderately compatible,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree
C.52,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Disagree,22:00-00:00,Somewhat insensitive,Slightly important,Sometimes,Every day,Never,Non-smoker,Rarely,Social & lively,Do them when asked,"Be direct, even if uncomfortable",Reliability in shared spaces,Slightly,Moderately compatible,Agree,Agree,Disagree,Strongly disagree,Strongly agree,Disagree
D.44,Agree,Strongly disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,22:00-00:00,Somewhat sensitive,Very important,Often,Once per week,Never,Smoker,Sometimes,Mostly private,Do my fair share,Try to solve problems through discussion,Shared interests / personality fit,Moderately,Moderately compatible,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Disagree
A.16,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Agree,Strongly disagree,00:00-02:00,Neutral,Extremely important,Rarely,Once per week,A few times per month,Non-smoker,Sometimes,Balanced,Do my fair share,Avoid confrontation,Reliability in shared spaces,Moderately,Not at all compatible,Agree,Disagree,Strongly disagree,Agree,Neither agree nor disagree,Neither agree nor disagree
B.11,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Agree,Neither agree nor disagree,22:00-00:00,Somewhat sensitive,Very important,Sometimes,Several times per week,Once per week,Non-smoker,Rarely,Balanced,Do them when asked,Try to solve problems through discussion,Respect for boundaries,Slightly,Not at all compatible,Strongly agree,Strongly disagree,Agree,Agree,Strongly agree,Agree
E.21,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,22:00-00:00,Neutral,Very important,Most of the time,Several times per week,Several times per week,Smoker,Sometimes,Quiet & private,Do them when asked,Compromise quickly,Reliability in shared spaces,Moderately,Slightly compatible,Disagree,Agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Agree
C.43,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly agree,00:00-02:00,Neutral,Very important,Sometimes,Never,Once per week,Non-smoker,Sometimes,Balanced,Do them when asked,"Be direct, even if uncomfortable",Reliability in shared spaces,Extremely,Slightly compatible,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
CU.41,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,After 02:00,Somewhat insensitive,Moderately important,Rarely,Several times per week,Rarely,Non-smoker,Rarely,Social & lively,Avoid them,"Be direct, even if uncomfortable",Not important / flexible,Slightly,Extremely compatible,Disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree
D.02,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Agree,After 02:00,Somewhat insensitive,Very important,Often,Several times per week,Never,Smoker,Rarely,Very social,Do my fair share,"Be direct, even if uncomfortable",Respect for boundaries,Moderately,Slightly compatible,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,Disagree
D.01,Disagree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,00:00-02:00,Very insensitive,Very important,Sometimes,Once per week,Several times per week,Smoker,Very often,Quiet & private,Avoid them,Try to solve problems through discussion,Similar daily routines,Slightly,Slightly compatible,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree
C.01,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Agree,Agree,00:00-02:00,Neutral,Very important,Rarely,Once per week,Rarely,Non-smoker,Often,Balanced,Often take initiative,Try to solve problems through discussion,Respect for boundaries,Extremely,Not at all compatible,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree
A.61,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,After 02:00,Somewhat sensitive,Moderately important,Sometimes,Rarely,Rarely,Non-smoker,Often,Balanced,Do my fair share,Avoid confrontation,Similar daily routines,Extremely,Moderately compatible,Neither agree nor disagree,Disagree,Disagree,Strongly agree,Disagree,Disagree
A.36,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,00:00-02:00,Neutral,Very important,Most of the time,Rarely,A few times per month,Non-smoker,Sometimes,Quiet & private,Do my fair share,Compromise quickly,Similar daily routines,Slightly,Moderately compatible,Strongly agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree
D.51,Agree,Strongly agree,Disagree,Disagree,Agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Agree,Disagree,22:00-00:00,Neutral,Extremely important,Most of the time,Every day,Rarely,Smoker,Often,Balanced,Do them when asked,"Be direct, even if uncomfortable",Respect for boundaries,Extremely,Slightly compatible,Disagree,Agree,Disagree,Neither agree nor disagree,Agree,Agree
B.02,Agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,After 02:00,Neutral,Very important,Sometimes,Several times per week,Rarely,Smoker,Rarely,Quiet & private,Do them when asked,Compromise quickly,Shared interests / personality fit,Slightly,Extremely compatible,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Strongly disagree
D.31,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,22:00-00:00,Neutral,Moderately important,Often,Rarely,Never,Non-smoker,Rarely,Mostly private,Do them when asked,Try to solve problems through discussion,Not important / flexible,Slightly,Very compatible,Strongly agree,Disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree
HD.51,Disagree,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Before 22:00,Neutral,Extremely important,Rarely,Never,A few times per month,Non-smoker,Often,Mostly private,Take responsibility for most,"Be direct, even if uncomfortable",Respect for boundaries,Very,Slightly compatible,Agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Agree
C.42,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,00:00-02:00,Neutral,Very important,Often,Once per week,Rarely,Smoker,Sometimes,Mostly private,Take responsibility for most,"Be direct, even if uncomfortable",Not important / flexible,Moderately,Moderately compatible,Agree,Strongly disagree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree
E.52,Agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Before 22:00,Neutral,Moderately important,Often,Every day,A few times per month,Non-smoker,Sometimes,Balanced,Avoid them,Avoid confrontation,Reliability in shared spaces,Moderately,Moderately compatible,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree
B.44,Disagree,Disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Agree,22:00-00:00,Somewhat insensitive,Very important,Sometimes,Several times per week,Once per week,Non-smoker,Sometimes,Mostly private,Often take initiative,Avoid confrontation,Not important / flexible,Very,Slightly compatible,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree
E.01,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,22:00-00:00,Neutral,Very important,Sometimes,Every day,Once per week,Non-smoker,Rarely,Balanced,Do them when asked,"Be direct, even if uncomfortable",Not important / flexible,Not at all,Very compatible,Disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree
A.16,Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,00:00-02:00,Somewhat insensitive,Very important,Often,Rarely,A few times per month,Non-smoker,Never,Mostly private,Do them when asked,Try to solve problems through discussion,Reliability in shared spaces,Slightly,Not at all compatible,Agree,Agree,Strongly agree,Disagree,Strongly agree,Agree
MO.71,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Agree,After 02:00,Somewhat sensitive,Very important,Most of the time,Every day,Several times per week,Smoker,Often,Balanced,Often take initiative,Avoid confrontation,Reliability in shared spaces,Moderately,Moderately compatible,Agree,Agree,Agree,Strongly disagree,Strongly agree,Disagree
A.14,Disagree,Strongly disagree,Agree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,22:00-00:00,Neutral,Very important,Sometimes,Several times per week,A few times per month,Smoker,Very often,Social & lively,Do them when asked,Try to solve problems through discussion,Shared interests / personality fit,Slightly,Moderately compatible,Strongly disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Strongly disagree
A.44,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,22:00-00:00,Somewhat insensitive,Moderately important,Rarely,Several times per week,Rarely,Non-smoker,Rarely,Mostly private,Do my fair share,Try to solve problems through discussion,Being social and engaging,Not at all,Moderately compatible,Neither agree nor disagree,Disagree,Strongly agree,Disagree,Agree,Strongly agree
A.63,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,22:00-00:00,Neutral,Very important,Sometimes,Once per week,Rarely,Non-smoker,Sometimes,Balanced,Often take initiative,Try to solve problems through discussion,Not important / flexible,Slightly,Very compatible,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Agree,Neither agree nor disagree
A.15,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,00:00-02:00,Somewhat sensitive,Moderately important,Often,Several times per week,Several times per week,Non-smoker,Often,Balanced,Do my fair share,"Be direct, even if uncomfortable",Shared interests / personality fit,Very,Slightly compatible,Strongly agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Disagree
FR.62,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,00:00-02:00,Somewhat insensitive,Moderately important,Most of the time,Once per week,A few times per month,Non-smoker,Often,Balanced,Take responsibility for most,Avoid confrontation,Similar daily routines,Extremely,Not at all compatible,Neither agree nor disagree,Agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Agree
B.24,Disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly disagree,Disagree,22:00-00:00,Neutral,Very important,Rarely,Rarely,Rarely,Non-smoker,Sometimes,Mostly private,Often take initiative,Try to solve problems through discussion,Reliability in shared spaces,Slightly,Moderately compatible,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree
E.31,Disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,22:00-00:00,Somewhat sensitive,Extremely important,Always,Several times per week,A few times per month,Non-smoker,Sometimes,Balanced,Often take initiative,Compromise quickly,Being social and engaging,Slightly,Slightly compatible,Strongly agree,Strongly agree,Neither agree nor disagree,Disagree,Agree,Strongly disagree
A.31,Disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,00:00-02:00,Neutral,Extremely important,Often,Once per week,A few times per month,Non-smoker,Never,Quiet & private,Do my fair share,"Be direct, even if uncomfortable",Reliability in shared spaces,Very,Not at all compatible,Agree,Strongly agree,Agree,Strongly agree,Disagree,Disagree
MO.71,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,00:00-02:00,Somewhat insensitive,Moderately important,Sometimes,Several times per week,Rarely,Non-smoker,Sometimes,Mostly private,Avoid them,Avoid confrontation,Similar daily routines,Extremely,Moderately compatible,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree
A.52,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Disagree,Disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,22:00-00:00,Neutral,Very important,Often,Several times per week,Several times per week,Non-smoker,Often,Balanced,Often take initiative,Try to solve problems through discussion,Being social and engaging,Slightly,Slightly compatible,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree
CU.11,Agree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,22:00-00:00,Somewhat sensitive,Very important,Sometimes,Once per week,A few times per month,Smoker,Rarely,Quiet & private,Take responsibility for most,Try to solve problems through discussion,Respect for boundaries,Extremely,Slightly compatible,Strongly disagree,Agree,Agree,Disagree,Agree,Agree
CU.11,Disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,22:00-00:00,Neutral,Very important,Rarely,Once per week,Once per week,Non-smoker,Often,Balanced,Do my fair share,Try to solve problems through discussion,Not important / flexible,Moderately,Slightly compatible,Agree,Disagree,Agree,Neither agree nor disagree,Agree,Agree
C.12,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,After 02:00,Somewhat sensitive,Very important,Most of the time,Rarely,Once per week,Non-smoker,Sometimes,Balanced,Take responsibility for most,"Be direct, even if uncomfortable",Similar daily routines,Extremely,Not at all compatible,Neither agree nor disagree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Agree
HD.51,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,After 02:00,Neutral,Very important,Sometimes,Once per week,Never,Non-smoker,Sometimes,Social & lively,Do them when asked,Try to solve problems through discussion,Reliability in shared spaces,Slightly,Moderately compatible,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree
