unit,apartment,age,gender,nationality,remainingstay_days,lengthofstay_days,extraversion,agreeableness,conscientiousness,emotional_stability,openness,sleep_schedule,noise_sensitivity,cleanliness,cleanliness_2,cooking_at_home,guests_over,smoking,alcohol,vibe,chores,conflict,flatmatefactors_priority,compatibility_importance,compatibility_overallrating,compat_dailyroutines,compat_tidiness,compat_noise,compat_interaction,compat_conflict,compat_relaxedness,sleep_schedule_num,noise_sensitivity_num,cleanliness_num,cleanliness_2_num,cooking_at_home_num,guests_over_num,smoking_num,alcohol_num,vibe_num,chores_num,conflict_num,compatibility_importance_num,compatibility_overallrating_num,compat_dailyroutines_num,compat_tidiness_num,compat_noise_num,compat_interaction_num,compat_conflict_num,compat_relaxedness_num,occupation,apartmentsize
PXA.05.1,PXA.05,26.0,male,France,248,120,2.5,3.5,3.0,2.5,2.5,00:00-02:00,Somewhat sensitive,Very important,Sometimes,Rarely,Rarely,Non-smoker,Sometimes,Quiet & private,Avoid them,"Be direct, even if uncomfortable",Respect for boundaries,Very,Moderately compatible,Agree,Neither agree nor disagree,Agree,Disagree,Agree,Neither agree nor disagree,3.0,4,4,2,2,2,0,3,1,1,4.0,4,3,4,3,4,2,4,3,Self-employed,4
PXA.05.4,PXA.05,22.0,female,Unknown,309,55,4.5,2.0,2.5,3.0,3.0,00:00-02:00,Neutral,Extremely important,Most of the time,Never,Rarely,Non-smoker,Rarely,Quiet & private,Avoid them,"Be direct, even if uncomfortable",Similar daily routines,Slightly,Moderately compatible,Agree,Disagree,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,3.0,3,5,4,1,2,0,2,1,1,4.0,2,3,4,2,3,5,4,3,Student,4
PXA.05.2,PXA.05,21.0,unknown,South Korea,279,85,4.0,2.5,2.5,2.0,3.0,After 02:00,Neutral,Moderately important,Often,Rarely,A few times per month,Non-smoker,Sometimes,Very social,Do my fair share,"Be direct, even if uncomfortable",Not important / flexible,Moderately,Moderately compatible,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree,4.0,3,3,3,2,3,0,3,5,3,4.0,3,3,4,3,5,4,4,4,Student,4
PXA.05.3,PXA.05,29.0,male,Slovakia,187,177,3.5,2.0,3.0,3.0,3.0,22:00-00:00,Somewhat insensitive,Extremely important,Sometimes,Once per week,A few times per month,Non-smoker,Rarely,Quiet & private,Do my fair share,Compromise quickly,Reliability in shared spaces,Not at all,Moderately compatible,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Disagree,2.0,2,5,2,3,3,0,2,1,3,2.0,1,3,4,2,3,3,5,2,Employed,4
PXA.06.3,PXA.06,20.0,female,Germany,340,24,3.5,2.5,3.5,3.0,3.5,22:00-00:00,Somewhat insensitive,Very important,Rarely,Never,Never,Non-smoker,Never,Balanced,Often take initiative,Try to solve problems through discussion,Respect for boundaries,Very,Moderately compatible,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,2.0,2,4,1,1,1,0,1,3,4,3.0,4,3,4,5,3,5,5,3,Student,4
PXA.06.4,PXA.06,19.0,male,Brazil,309,55,3.5,2.5,2.5,2.0,2.5,After 02:00,Very sensitive,Extremely important,Sometimes,Several times per week,Never,Smoker,Rarely,Very social,Do my fair share,Avoid confrontation,Shared interests / personality fit,Very,Not at all compatible,Agree,Disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,4.0,5,5,2,4,1,1,2,5,3,1.0,4,1,4,2,3,5,3,4,Student,4
PXA.06.2,PXA.06,30.0,unknown,India,67,324,4.0,2.5,2.5,2.5,2.0,22:00-00:00,Neutral,Very important,Rarely,Every day,Rarely,Non-smoker,Sometimes,Quiet & private,Do my fair share,Compromise quickly,Being social and engaging,Very,Not at all compatible,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly agree,Strongly disagree,2.0,3,4,1,5,2,0,3,1,3,2.0,4,1,2,3,3,2,5,1,Student,4
PXA.06.1,PXA.06,33.0,female,Philippines,217,147,3.0,3.0,2.0,3.0,3.0,00:00-02:00,Neutral,Extremely important,Sometimes,Never,Once per week,Non-smoker,Sometimes,Quiet & private,Avoid them,Try to solve problems through discussion,Respect for boundaries,Moderately,Slightly compatible,Agree,Agree,Disagree,Agree,Neither agree nor disagree,Strongly disagree,3.0,3,5,2,1,4,0,3,1,1,3.0,3,2,4,4,2,4,3,1,Employed,4
PXA.07.3,PXA.07,36.0,male,India,217,147,3.5,2.0,4.0,3.0,4.0,00:00-02:00,Somewhat sensitive,Moderately important,Sometimes,Once per week,Never,Smoker,Often,Quiet & private,Avoid them,Try to solve problems through discussion,Not important / flexible,Very,Very compatible,Agree,Disagree,Strongly disagree,Agree,Strongly agree,Agree,3.0,4,3,2,3,1,1,4,1,1,3.0,4,4,4,2,1,4,5,4,Employed,3
PXA.07.2,PXA.07,19.0,male,South Korea,67,297,2.5,2.5,3.0,2.0,3.0,22:00-00:00,Neutral,Moderately important,Often,Once per week,Never,Non-smoker,Sometimes,Balanced,Do my fair share,Avoid confrontation,Respect for boundaries,Very,Not at all compatible,Disagree,Neither agree nor disagree,Agree,Disagree,Strongly agree,Neither agree nor disagree,2.0,3,3,3,3,1,0,3,3,3,1.0,4,1,2,3,4,2,5,3,Student,3
PXA.08.1,PXA.08,31.0,female,Germany,36,76,3.0,2.5,4.0,2.5,3.5,00:00-02:00,Somewhat sensitive,Moderately important,Most of the time,Rarely,A few times per month,Non-smoker,Sometimes,Quiet & private,Do them when asked,Avoid confrontation,Similar daily routines,Extremely,Not at all compatible,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,3.0,4,3,4,2,3,0,3,1,2,1.0,5,1,4,4,4,5,3,5,Self-employed,3
PXA.08.2,PXA.08,27.0,unknown,Germany,217,147,3.5,3.0,2.5,3.0,3.5,00:00-02:00,Somewhat sensitive,Very important,Rarely,Several times per week,Never,Non-smoker,Rarely,Social & lively,Do my fair share,"Be direct, even if uncomfortable",Being social and engaging,Very,Extremely compatible,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly agree,3.0,4,4,1,4,1,0,2,4,3,4.0,4,5,3,4,3,3,2,5,Student,3
PXA.08.3,PXA.08,40.0,unknown,Iraq,309,55,3.5,3.0,4.0,3.5,2.5,22:00-00:00,Neutral,Very important,Sometimes,Never,Rarely,Non-smoker,Rarely,Mostly private,Do my fair share,Avoid confrontation,Similar daily routines,Slightly,Slightly compatible,Neither agree nor disagree,Disagree,Agree,Agree,Disagree,Neither agree nor disagree,2.0,3,4,2,1,2,0,2,2,3,1.0,2,2,3,2,4,4,2,3,Employed,3
PXA.09.3,PXA.09,27.0,female,Turkey,279,96,2.5,3.5,2.5,3.0,2.0,Before 22:00,Very insensitive,Moderately important,Rarely,Several times per week,A few times per month,Non-smoker,Sometimes,Balanced,Do them when asked,Compromise quickly,Being social and engaging,Extremely,Slightly compatible,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,1.0,1,3,1,4,3,0,3,3,2,2.0,5,2,5,1,3,5,3,4,Student,4
PXA.09.1,PXA.09,18.0,male,Spain,248,127,3.5,4.0,3.0,3.0,2.0,After 02:00,Very sensitive,Very important,Most of the time,Rarely,Rarely,Non-smoker,Never,Balanced,Do them when asked,Avoid confrontation,Being social and engaging,Moderately,Moderately compatible,Neither agree nor disagree,Disagree,Strongly agree,Agree,Agree,Agree,4.0,5,4,4,2,2,0,1,3,2,1.0,3,3,3,2,5,4,4,4,Apprentice / Trainee,4
PXA.09.4,PXA.09,34.0,male,Europe (unspecified),156,208,2.5,2.5,3.5,4.0,2.5,Before 22:00,Somewhat insensitive,Very important,Often,Once per week,A few times per month,Non-smoker,Rarely,Quiet & private,Take responsibility for most,Compromise quickly,Being social and engaging,Moderately,Extremely compatible,Agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,1.0,2,4,3,3,3,0,2,1,5,2.0,3,5,4,5,4,1,5,1,Employed,4
PXA.09.2,PXA.09,32.0,male,Germany,248,117,3.0,3.0,3.5,3.0,3.0,After 02:00,Neutral,Very important,Often,Several times per week,A few times per month,Non-smoker,Sometimes,Balanced,Often take initiative,"Be direct, even if uncomfortable",Reliability in shared spaces,Slightly,Extremely compatible,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Disagree,4.0,3,4,3,4,3,0,3,3,4,4.0,2,5,4,5,5,3,5,2,Employed,4
PXA.10.3,PXA.10,21.0,male,Lithuania,309,55,2.0,2.5,4.0,3.0,2.5,22:00-00:00,Neutral,Very important,Sometimes,Several times per week,A few times per month,Smoker,Very often,Social & lively,Do them when asked,Try to solve problems through discussion,Shared interests / personality fit,Slightly,Moderately compatible,Strongly disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Strongly disagree,2.0,3,4,2,4,3,1,5,4,2,3.0,2,3,1,3,4,4,3,1,Student,3
PXA.10.2,PXA.10,55.0,male,Germany,67,297,2.5,2.0,2.5,4.0,4.0,22:00-00:00,Neutral,Very important,Most of the time,Never,Once per week,Non-smoker,Rarely,Social & lively,Do my fair share,Compromise quickly,Being social and engaging,Moderately,Slightly compatible,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Agree,2.0,3,4,4,1,4,0,2,4,3,2.0,3,2,3,5,5,3,4,4,Student,3
PXA.10.1,PXA.10,20.0,female,France,279,97,3.0,3.0,2.5,2.0,3.5,22:00-00:00,Somewhat sensitive,Very important,Often,Several times per week,A few times per month,Non-smoker,Never,Mostly private,Often take initiative,"Be direct, even if uncomfortable",Reliability in shared spaces,Extremely,Moderately compatible,Disagree,Strongly agree,Neither agree nor disagree,Agree,Strongly disagree,Neither agree nor disagree,2.0,4,4,3,4,3,0,1,2,4,4.0,5,3,2,5,3,4,1,3,Student,3
PXA.11.4,PXA.11,35.0,unknown,India,95,269,2.5,3.5,2.5,3.0,2.5,00:00-02:00,Somewhat sensitive,Moderately important,Often,Several times per week,Several times per week,Non-smoker,Often,Balanced,Do my fair share,"Be direct, even if uncomfortable",Shared interests / personality fit,Very,Slightly compatible,Strongly agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Disagree,3.0,4,3,3,4,5,0,4,3,3,4.0,4,2,5,3,4,2,3,2,Job-seeking,4
PXA.11.3,PXA.11,33.0,unknown,Italy,248,134,3.0,2.0,2.0,3.0,3.0,00:00-02:00,Very sensitive,Moderately important,Often,Once per week,Once per week,Non-smoker,Often,Mostly private,Often take initiative,Try to solve problems through discussion,Being social and engaging,Not at all,Slightly compatible,Agree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Agree,3.0,5,3,3,3,4,0,4,2,4,3.0,1,2,4,1,5,1,2,4,Employed,4
PXA.11.1,PXA.11,32.0,unknown,Iran,95,269,3.0,4.0,2.5,2.5,3.0,After 02:00,Somewhat sensitive,Moderately important,Most of the time,Several times per week,Rarely,Non-smoker,Rarely,Social & lively,Often take initiative,"Be direct, even if uncomfortable",Reliability in shared spaces,Very,Moderately compatible,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,4.0,4,3,4,4,2,0,2,4,4,4.0,4,3,4,3,5,3,5,4,Student,4
PXA.11.2,PXA.11,33.0,female,Germany,248,116,3.0,3.5,3.0,3.0,2.5,After 02:00,Neutral,Moderately important,Sometimes,Several times per week,Never,Non-smoker,Sometimes,Balanced,Often take initiative,Compromise quickly,Not important / flexible,Slightly,Slightly compatible,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,4.0,3,3,2,4,1,0,3,3,4,2.0,2,2,1,5,3,3,3,5,Self-employed,4
PXA.12.4,PXA.12,27.0,male,Russia,279,85,3.5,3.5,3.0,4.5,3.0,22:00-00:00,Neutral,Very important,Rarely,Once per week,Rarely,Smoker,Very often,Balanced,Do them when asked,Avoid confrontation,Reliability in shared spaces,Very,Slightly compatible,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Disagree,Strongly agree,2.0,3,4,1,3,2,1,5,3,2,1.0,4,2,3,4,3,4,2,5,Employed,4
PXA.12.1,PXA.12,20.0,unknown,India,95,272,2.5,3.0,3.0,2.0,3.5,22:00-00:00,Neutral,Very important,Always,Never,A few times per month,Non-smoker,Never,Very social,Take responsibility for most,Avoid confrontation,Respect for boundaries,Extremely,Moderately compatible,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,2.0,3,4,5,1,3,0,1,5,5,1.0,5,3,4,4,3,2,3,2,Student,4
PXA.12.3,PXA.12,24.0,female,Poland,309,55,3.5,2.0,4.0,3.5,3.0,00:00-02:00,Neutral,Extremely important,Rarely,Once per week,A few times per month,Non-smoker,Sometimes,Balanced,Do my fair share,Avoid confrontation,Reliability in shared spaces,Moderately,Not at all compatible,Agree,Disagree,Strongly disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,3.0,3,5,1,3,3,0,3,3,3,1.0,3,1,4,2,1,4,3,3,Apprentice / Trainee,4
PXA.12.2,PXA.12,21.0,female,France,309,84,3.0,3.5,4.0,3.5,2.5,00:00-02:00,Somewhat insensitive,Very important,Often,Rarely,A few times per month,Non-smoker,Never,Mostly private,Do them when asked,Try to solve problems through discussion,Reliability in shared spaces,Slightly,Not at all compatible,Agree,Agree,Strongly agree,Disagree,Strongly agree,Agree,3.0,2,4,3,2,3,0,1,2,2,3.0,2,1,4,4,5,2,5,4,Student,4
PXA.13.2,PXA.13,24.0,male,Egypt,187,177,3.0,3.5,1.5,3.0,2.5,After 02:00,Somewhat insensitive,Very important,Often,Rarely,Rarely,Non-smoker,Rarely,Social & lively,Take responsibility for most,Try to solve problems through discussion,Reliability in shared spaces,Moderately,Slightly compatible,Strongly agree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,4.0,2,4,3,2,2,0,2,4,5,3.0,3,2,5,4,2,1,1,5,Student,2
PXA.14.3,PXA.14,26.0,male,Italy,279,85,3.0,2.5,3.5,2.5,2.5,Before 22:00,Very sensitive,Extremely important,Often,Once per week,A few times per month,Non-smoker,Rarely,Balanced,Often take initiative,Try to solve problems through discussion,Reliability in shared spaces,Moderately,Moderately compatible,Strongly agree,Strongly agree,Disagree,Agree,Agree,Strongly disagree,1.0,5,5,3,3,3,0,2,3,4,3.0,3,3,5,5,2,4,4,1,Student,3
PXA.14.1,PXA.14,20.0,male,Turkey,187,193,3.0,3.0,3.5,2.5,3.0,22:00-00:00,Neutral,Extremely important,Sometimes,Rarely,Never,Smoker,Rarely,Very social,Do them when asked,"Be direct, even if uncomfortable",Not important / flexible,Slightly,Extremely compatible,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,2.0,3,5,2,2,1,1,2,5,2,4.0,2,5,3,4,3,4,4,2,Student,3
PXA.14.2,PXA.14,26.0,male,Unknown,217,147,3.5,3.5,3.5,3.0,2.0,22:00-00:00,Neutral,Extremely important,Sometimes,Rarely,Never,Non-smoker,Sometimes,Mostly private,Avoid them,Try to solve problems through discussion,Similar daily routines,Extremely,Slightly compatible,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,2.0,3,5,2,2,1,0,3,2,1,3.0,5,2,4,3,3,4,3,5,Employed,3
PXA.15.2,PXA.15,20.0,male,Egypt,309,76,2.5,3.0,3.5,3.5,2.5,After 02:00,Somewhat insensitive,Moderately important,Often,Once per week,Rarely,Non-smoker,Never,Mostly private,Do them when asked,"Be direct, even if uncomfortable",Shared interests / personality fit,Slightly,Slightly compatible,Disagree,Strongly agree,Agree,Agree,Agree,Agree,4.0,2,3,3,3,2,0,1,2,2,4.0,2,2,2,5,4,4,4,4,Student,4
PXA.15.1,PXA.15,28.0,male,India,248,99,3.0,3.0,2.5,2.0,2.5,00:00-02:00,Neutral,Extremely important,Often,Never,Rarely,Non-smoker,Sometimes,Quiet & private,Do my fair share,Try to solve problems through discussion,Reliability in shared spaces,Slightly,Moderately compatible,Agree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly disagree,3.0,3,5,3,1,2,0,3,1,3,3.0,2,3,4,5,3,4,3,1,Job-seeking,4
PXA.15.3,PXA.15,24.0,male,United States,279,85,4.0,3.5,3.5,4.0,3.0,22:00-00:00,Very insensitive,Very important,Often,Every day,Never,Smoker,Often,Balanced,Avoid them,Try to solve problems through discussion,Similar daily routines,Not at all,Moderately compatible,Disagree,Agree,Strongly agree,Agree,Agree,Strongly disagree,2.0,1,4,3,5,1,1,4,3,1,3.0,1,3,2,4,5,4,4,1,Employed,4
PXA.15.4,PXA.15,19.0,male,Egypt,279,85,3.5,3.0,2.5,3.0,3.5,22:00-00:00,Neutral,Moderately important,Most of the time,Rarely,Several times per week,Non-smoker,Never,Balanced,Often take initiative,Try to solve problems through discussion,Respect for boundaries,Slightly,Very compatible,Strongly agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,2.0,3,3,4,2,5,0,1,3,4,3.0,2,4,5,2,2,3,3,5,Student,4
PXA.16.2,PXA.16,20.0,female,Turkey,309,55,3.5,3.5,4.0,2.5,3.0,22:00-00:00,Neutral,Extremely important,Often,Rarely,Several times per week,Non-smoker,Sometimes,Mostly private,Often take initiative,Try to solve problems through discussion,Not important / flexible,Moderately,Slightly compatible,Agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,2.0,3,5,3,2,5,0,3,2,4,3.0,3,2,4,4,4,4,3,5,Student,2
PXA.17.4,PXA.17,22.0,female,France,36,97,2.5,3.5,3.0,3.0,2.0,22:00-00:00,Somewhat insensitive,Very important,Most of the time,Rarely,Rarely,Smoker,Rarely,Balanced,Do my fair share,Compromise quickly,Not important / flexible,Extremely,Slightly compatible,Strongly agree,Agree,Agree,Agree,Agree,Disagree,2.0,2,4,4,2,2,1,2,3,3,2.0,5,2,5,4,4,4,4,2,Student,4
PXA.17.2,PXA.17,30.0,unknown,India,67,313,3.0,3.0,2.5,2.5,4.0,22:00-00:00,Somewhat insensitive,Very important,Rarely,Rarely,Once per week,Non-smoker,Never,Mostly private,Do them when asked,"Be direct, even if uncomfortable",Reliability in shared spaces,Not at all,Slightly compatible,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,2.0,2,4,1,2,4,0,1,2,2,4.0,1,2,2,5,1,1,5,4,Student,4
PXA.17.1,PXA.17,29.0,male,Uruguay,187,177,3.5,3.0,2.0,3.0,4.0,00:00-02:00,Neutral,Very important,Most of the time,Several times per week,Never,Non-smoker,Rarely,Social & lively,Do my fair share,"Be direct, even if uncomfortable",Reliability in shared spaces,Extremely,Very compatible,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,3.0,3,4,4,4,1,0,2,4,3,4.0,5,4,2,3,4,3,4,3,Job-seeking,4
PXA.18.1,PXA.18,23.0,male,India,95,288,4.5,3.0,2.0,2.0,4.0,22:00-00:00,Neutral,Very important,Sometimes,Once per week,A few times per month,Non-smoker,Sometimes,Balanced,Often take initiative,Try to solve problems through discussion,Reliability in shared spaces,Moderately,Slightly compatible,Disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Disagree,Disagree,2.0,3,4,2,3,3,0,3,3,4,3.0,3,2,2,1,3,5,2,2,Student,4
PXA.18.2,PXA.18,29.0,male,Pakistan,279,111,3.5,3.5,2.0,2.5,1.5,After 02:00,Neutral,Moderately important,Most of the time,Rarely,Rarely,Non-smoker,Never,Social & lively,Take responsibility for most,"Be direct, even if uncomfortable",Similar daily routines,Slightly,Slightly compatible,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Agree,Strongly agree,Agree,4.0,3,3,4,2,2,0,1,4,5,4.0,2,2,3,1,3,4,5,4,Student,4
PXA.18.3,PXA.18,21.0,male,Egypt,248,136,2.5,3.0,3.0,3.0,2.5,22:00-00:00,Neutral,Extremely important,Most of the time,Several times per week,A few times per month,Non-smoker,Rarely,Mostly private,Do my fair share,Try to solve problems through discussion,Shared interests / personality fit,Moderately,Very compatible,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Disagree,2.0,3,5,4,4,3,0,2,2,3,3.0,3,4,3,5,3,3,5,2,Employed,4
PXA.18.4,PXA.18,27.0,unknown,Thailand,5,238,2.5,3.0,2.5,3.0,3.5,After 02:00,Neutral,Very important,Always,Rarely,Several times per week,Non-smoker,Rarely,Quiet & private,Do them when asked,Try to solve problems through discussion,Shared interests / personality fit,Very,Moderately compatible,Neither agree nor disagree,Strongly disagree,Disagree,Agree,Neither agree nor disagree,Agree,4.0,3,4,5,2,5,0,2,1,2,3.0,4,3,3,1,2,4,3,4,Student,4
PXA.19.3,PXA.19,20.0,female,Netherlands,279,100,2.5,2.0,3.0,3.0,2.5,00:00-02:00,Neutral,Extremely important,Often,Once per week,A few times per month,Non-smoker,Never,Quiet & private,Do my fair share,"Be direct, even if uncomfortable",Reliability in shared spaces,Very,Not at all compatible,Agree,Strongly agree,Agree,Strongly agree,Disagree,Disagree,3.0,3,5,3,3,3,0,1,1,3,4.0,4,1,4,5,4,5,2,2,Student,3
PXA.19.1,PXA.19,32.0,male,Lebanon,95,269,2.5,3.5,3.5,3.0,3.5,After 02:00,Somewhat insensitive,Very important,Often,Several times per week,Never,Smoker,Rarely,Social & lively,Take responsibility for most,"Be direct, even if uncomfortable",Similar daily routines,Moderately,Very compatible,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Agree,4.0,2,4,3,4,1,1,2,4,5,4.0,3,4,4,3,4,3,2,4,Job-seeking,3
