Apartment,Sleep_schedule,Noise_sensitivity,Cleanliness,Cleanliness_2,Cooking_at_home,Guests_over,Smoking,Alcohol,Vibe,Chores,Conflict,FlatmateFactors_Priority,Compatibility_Importance,Compatibility_OverallRating,Compat_DailyRoutines,Compat_Tidiness,Compat_Noise,Compat_Interaction,Compat_Conflict,Compat_Relaxedness,Unit,Gender,Age,Occupation,Nationality,LengthOfStay_days,RemainingStay_days,ApartmentSize,Emotional_Stability,Extraversion,Openness,Conscientiousness,Agreeableness,Noise_sensitivity_num,Cleanliness_num,Cleanliness_2_num,Cooking_at_home_num,Guests_over_num,Alcohol_num,Vibe_num,Chores_num,Compatibility_Importance_num,Compatibility_OverallRating_num,Smoking_num,Cluster_Task2,PC1,PC2,PC3,PC4,PC5,PC6,fit_distance
A.04,00:00-02:00,Neutral,Extremely important,Sometimes,Several times per week,Several times per week,Non-smoker,Sometimes,Very social,Do my fair share,Try to solve problems through discussion,Not important / flexible,Very,Very compatible,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Strongly disagree,Neither agree nor disagree,A.04.1,unknown,23.0,Student,India,127,248,3,3.5,3.0,3.5,3.5,4.0,3,5,2,4,5,3,5,3,4,4.0,0,3,-0.3034979857478297,0.2301298440797454,0.8404109698582494,1.1279725246820875,1.5545305218727605,1.777454363617958,1.3293509371377472
A.05,00:00-02:00,Somewhat sensitive,Very important,Sometimes,Rarely,Rarely,Non-smoker,Sometimes,Quiet & private,Avoid them,"Be direct, even if uncomfortable",Respect for boundaries,Very,Moderately compatible,Agree,Neither agree nor disagree,Agree,Disagree,Agree,Neither agree nor disagree,A.05.1,male,26.0,Self-employed,France,120,248,4,2.5,2.5,2.5,3.0,3.5,4,4,2,2,2,3,1,1,4,3.0,0,3,-0.2858822191894148,-0.5224698735699504,0.8412786852312255,-1.1166054265087253,0.05804730871256442,-0.49066788973231695,1.6407450240201182
A.05,00:00-02:00,Neutral,Extremely important,Most of the time,Never,Rarely,Non-smoker,Rarely,Quiet & private,Avoid them,"Be direct, even if uncomfortable",Similar daily routines,Slightly,Moderately compatible,Agree,Disagree,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,A.05.4,female,22.0,Student,Unknown,55,309,4,3.0,4.5,3.0,2.5,2.0,3,5,4,1,2,2,1,1,2,3.0,0,2,-2.1059006824837505,-2.351704416794724,-0.5925347842254367,-1.394846177701339,0.6395957826825462,-0.8129023885378688,1.6883672703625567
A.05,After 02:00,Neutral,Moderately important,Often,Rarely,A few times per month,Non-smoker,Sometimes,Very social,Do my fair share,"Be direct, even if uncomfortable",Not important / flexible,Moderately,Moderately compatible,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree,A.05.2,unknown,21.0,Student,South Korea,85,279,4,2.0,4.0,3.0,2.5,2.5,3,3,3,2,3,3,5,3,3,3.0,0,1,-1.6911620631021782,-0.4733238774869126,-1.204078712342866,-0.6317732792935185,0.9202281901879154,0.06414219608601958,1.7773527373489357
A.05,22:00-00:00,Somewhat insensitive,Extremely important,Sometimes,Once per week,A few times per month,Non-smoker,Rarely,Quiet & private,Do my fair share,Compromise quickly,Reliability in shared spaces,Not at all,Moderately compatible,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Disagree,A.05.3,male,29.0,Employed,Slovakia,177,187,4,3.0,3.5,3.0,3.0,2.0,2,5,2,3,3,2,1,3,1,3.0,0,2,0.41122084568590134,-2.363775020914227,-0.28430102537751073,-0.1450444518614866,-0.46520015857421404,-1.080155889701331,1.9797723763087145
A.06,22:00-00:00,Somewhat insensitive,Very important,Rarely,Never,Never,Non-smoker,Never,Balanced,Often take initiative,Try to solve problems through discussion,Respect for boundaries,Very,Moderately compatible,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,A.06.3,female,20.0,Student,Germany,24,340,4,3.0,3.5,3.5,3.5,2.5,2,4,1,1,1,1,3,4,4,3.0,0,2,-2.008837976001602,-1.418557338530762,-0.6561481688681784,1.0889518364810185,0.5329621480282336,-1.2122576677642793,2.2511832911764227
A.06,After 02:00,Very sensitive,Extremely important,Sometimes,Several times per week,Never,Smoker,Rarely,Very social,Do my fair share,Avoid confrontation,Shared interests / personality fit,Very,Not at all compatible,Agree,Disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,A.06.4,male,19.0,Student,Brazil,55,309,4,2.0,3.5,2.5,2.5,2.5,5,5,2,4,1,2,5,3,4,1.0,1,1,-2.4039419801379713,0.6478721691263105,-0.463887952720723,-0.25548221746182104,1.7271847814181867,0.9506635241808168,3.031463895709879
A.06,22:00-00:00,Neutral,Very important,Rarely,Every day,Rarely,Non-smoker,Sometimes,Quiet & private,Do my fair share,Compromise quickly,Being social and engaging,Very,Not at all compatible,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly agree,Strongly disagree,A.06.2,unknown,30.0,Student,India,324,67,4,2.5,4.0,2.0,2.5,2.5,3,4,1,5,2,3,1,3,4,1.0,0,0,2.391315607332679,-0.5266229253797176,-0.5272320678922018,-1.0069354556787604,1.0169779306563635,-1.6633109654573133,3.2838483116566866
A.06,00:00-02:00,Neutral,Extremely important,Sometimes,Never,Once per week,Non-smoker,Sometimes,Quiet & private,Avoid them,Try to solve problems through discussion,Respect for boundaries,Moderately,Slightly compatible,Agree,Agree,Disagree,Agree,Neither agree nor disagree,Strongly disagree,A.06.1,female,33.0,Employed,Philippines,147,217,4,3.0,3.0,3.0,2.0,3.0,3,5,2,1,4,3,1,1,3,2.0,0,2,0.2205515616645883,-2.826431522647614,0.6545522405160695,-0.39899289709406877,0.30344123317128957,0.3566303327875543,2.337693390202338
A.11,00:00-02:00,Somewhat sensitive,Moderately important,Sometimes,Once per week,Never,Smoker,Often,Quiet & private,Avoid them,Try to solve problems through discussion,Not important / flexible,Very,Very compatible,Agree,Disagree,Strongly disagree,Agree,Strongly agree,Agree,A.11.3,male,36.0,Employed,India,147,217,3,3.0,3.5,4.0,4.0,2.0,4,3,2,3,1,4,1,1,4,4.0,1,3,0.6940274104467413,-1.2833624816484326,1.734823879745782,-2.6013091443207417,-0.8372566825612352,-0.8081297618429578,1.9641892486540298
A.11,22:00-00:00,Neutral,Moderately important,Often,Once per week,Never,Non-smoker,Sometimes,Balanced,Do my fair share,Avoid confrontation,Respect for boundaries,Very,Not at all compatible,Disagree,Neither agree nor disagree,Agree,Disagree,Strongly agree,Neither agree nor disagree,A.11.2,male,19.0,Student,South Korea,297,67,3,2.0,2.5,3.0,3.0,2.5,3,3,3,3,1,3,3,3,4,1.0,0,0,1.6441702022794287,0.30535313391385444,-1.1489492260180805,-0.7896681425510983,-0.28310714984012153,-0.49174892064937237,1.9641892486540298
A.12,00:00-02:00,Somewhat sensitive,Moderately important,Most of the time,Rarely,A few times per month,Non-smoker,Sometimes,Quiet & private,Do them when asked,Avoid confrontation,Similar daily routines,Extremely,Not at all compatible,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,A.12.1,female,31.0,Self-employed,Germany,76,36,3,2.5,3.0,3.5,4.0,2.5,4,3,4,2,3,3,1,2,5,1.0,0,0,1.14017620766955,-0.4618455057329091,0.38217795364835594,-2.3727258067359758,-0.5016367384943077,0.43714201777541045,2.027088651371238
A.12,00:00-02:00,Somewhat sensitive,Very important,Rarely,Several times per week,Never,Non-smoker,Rarely,Social & lively,Do my fair share,"Be direct, even if uncomfortable",Being social and engaging,Very,Extremely compatible,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly agree,A.12.2,unknown,27.0,Student,Germany,147,217,3,3.0,3.5,3.5,2.5,3.0,4,4,1,4,1,2,4,3,4,5.0,0,1,-0.27055816419753564,-0.5997335127642707,-1.239065182228278,-0.2792064239658091,0.64119588777681,0.13744143656054042,1.9845513657673797
A.12,22:00-00:00,Neutral,Very important,Sometimes,Never,Rarely,Non-smoker,Rarely,Mostly private,Do my fair share,Avoid confrontation,Similar daily routines,Slightly,Slightly compatible,Neither agree nor disagree,Disagree,Agree,Agree,Disagree,Neither agree nor disagree,A.12.3,unknown,40.0,Employed,Iraq,55,309,3,3.5,3.5,2.5,4.0,3.0,3,4,2,1,2,2,2,3,2,2.0,0,2,-0.6423965478847471,-1.846530096819024,1.478644690391354,0.19499639230117527,-1.5687509038847756,-0.83097793911629,2.3830108928858076
A.13,Before 22:00,Very insensitive,Moderately important,Rarely,Several times per week,A few times per month,Non-smoker,Sometimes,Balanced,Do them when asked,Compromise quickly,Being social and engaging,Extremely,Slightly compatible,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,A.13.3,female,27.0,Student,Turkey,96,279,4,3.0,2.5,2.0,2.5,3.5,1,3,1,4,3,3,3,2,5,2.0,0,3,-0.3089275548114691,-0.013724190794424104,0.8604213609812056,1.033715970122878,0.07170055566936592,-1.6808231468637873,1.7387400668927269
A.13,After 02:00,Very sensitive,Very important,Most of the time,Rarely,Rarely,Non-smoker,Never,Balanced,Do them when asked,Avoid confrontation,Being social and engaging,Moderately,Moderately compatible,Neither agree nor disagree,Disagree,Strongly agree,Agree,Agree,Agree,A.13.1,male,18.0,Apprentice / Trainee,Spain,127,248,4,3.0,3.5,2.0,3.0,4.0,5,4,4,2,2,1,3,2,3,3.0,0,1,-1.4760336493819617,1.3246424415939209,-0.7297576969563525,-0.007627904465204371,0.46795937328332465,0.47527201956505927,2.491690532566856
A.13,Before 22:00,Somewhat insensitive,Very important,Often,Once per week,A few times per month,Non-smoker,Rarely,Quiet & private,Take responsibility for most,Compromise quickly,Being social and engaging,Moderately,Extremely compatible,Agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,A.13.4,male,34.0,Employed,Europe (unspecified),208,156,4,4.0,2.5,2.5,3.5,2.5,2,4,3,3,3,2,1,5,3,5.0,0,0,1.645816417304181,-0.4846811887396341,0.17249311735586179,1.2443170583088918,-1.9730211350578228,-0.50830867156677,2.4101791731348636
A.13,After 02:00,Neutral,Very important,Often,Several times per week,A few times per month,Non-smoker,Sometimes,Balanced,Often take initiative,"Be direct, even if uncomfortable",Reliability in shared spaces,Slightly,Extremely compatible,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Disagree,A.13.2,male,32.0,Employed,Germany,117,248,4,3.0,3.0,3.0,3.5,3.0,3,4,3,4,3,3,3,4,2,5.0,0,2,-0.0018805449026602352,0.054152712807978044,0.25391235047598915,-0.3578110813297484,-0.9619087003960541,0.07440149334908792,1.0521275545087485
A.14,22:00-00:00,Neutral,Very important,Sometimes,Several times per week,A few times per month,Smoker,Very often,Social & lively,Do them when asked,Try to solve problems through discussion,Shared interests / personality fit,Slightly,Moderately compatible,Strongly disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Strongly disagree,A.14.3,male,21.0,Student,Lithuania,55,309,3,3.0,2.0,2.5,4.0,2.5,3,4,2,4,3,5,4,2,2,3.0,1,3,-1.3975546113350128,0.3025400376015104,2.62796513412155,0.2505240211018946,-0.8951292425029439,-0.1328387678111017,3.525399751343237
A.14,22:00-00:00,Neutral,Very important,Most of the time,Never,Once per week,Non-smoker,Rarely,Social & lively,Do my fair share,Compromise quickly,Being social and engaging,Moderately,Slightly compatible,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Agree,A.14.2,male,55.0,Student,Germany,297,67,3,4.0,2.5,4.0,2.5,2.0,3,4,4,1,4,2,4,3,3,2.0,0,0,3.258775120043541,-3.382144111961372,-0.5908609390429312,0.5597472056876137,-2.4859220205461425,2.165420004762114,4.3826740826846
A.14,22:00-00:00,Somewhat sensitive,Very important,Often,Several times per week,A few times per month,Non-smoker,Never,Mostly private,Often take initiative,"Be direct, even if uncomfortable",Reliability in shared spaces,Extremely,Moderately compatible,Disagree,Strongly agree,Neither agree nor disagree,Agree,Strongly disagree,Neither agree nor disagree,A.14.1,female,20.0,Student,France,97,279,3,2.0,3.0,3.5,2.5,3.0,4,4,3,4,3,1,2,4,5,3.0,0,1,-0.8767577706523972,0.3788296013227129,-1.55895698230175,-1.2179750656457042,0.6369618359545167,1.5488982983339947,3.121725785314871
A.15,00:00-02:00,Somewhat sensitive,Moderately important,Often,Several times per week,Several times per week,Non-smoker,Often,Balanced,Do my fair share,"Be direct, even if uncomfortable",Shared interests / personality fit,Very,Slightly compatible,Strongly agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Disagree,A.15.4,unknown,35.0,Job-seeking,India,269,95,4,3.0,2.5,2.5,2.5,3.5,4,3,3,4,5,4,3,3,4,2.0,0,0,2.2512118493900752,0.6039721992660303,0.11485230740204033,-0.43289645488896056,-0.4908440968537414,1.3092147361793636,1.8193966864423285
A.15,00:00-02:00,Very sensitive,Moderately important,Often,Once per week,Once per week,Non-smoker,Often,Mostly private,Often take initiative,Try to solve problems through discussion,Being social and engaging,Not at all,Slightly compatible,Agree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Agree,A.15.3,unknown,33.0,Employed,Italy,134,248,4,3.0,3.0,3.0,2.0,2.0,5,3,3,3,4,4,2,4,1,2.0,0,2,-0.2649894838250093,-1.087456582057309,-1.2043601742255767,-1.5466959271676808,-1.9398580421108704,1.1341998665461235,2.443692049850292
A.15,After 02:00,Somewhat sensitive,Moderately important,Most of the time,Several times per week,Rarely,Non-smoker,Rarely,Social & lively,Often take initiative,"Be direct, even if uncomfortable",Reliability in shared spaces,Very,Moderately compatible,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,A.15.1,unknown,32.0,Student,Iran,269,95,4,2.5,3.0,3.0,2.5,4.0,4,3,4,4,2,2,4,4,4,3.0,0,0,1.7307604143538442,1.7587841387189707,-1.3315100968687346,-0.5024599753622796,-0.39590656152452963,1.0432464934347716,1.910780231975519
A.15,After 02:00,Neutral,Moderately important,Sometimes,Several times per week,Never,Non-smoker,Sometimes,Balanced,Often take initiative,Compromise quickly,Not important / flexible,Slightly,Slightly compatible,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,A.15.2,female,33.0,Self-employed,Germany,116,248,4,3.0,3.0,2.5,3.0,3.5,3,3,2,4,1,3,3,4,2,2.0,0,2,-0.12706967158635665,0.6004613004424318,0.06829213732740583,-0.14783488715624443,-1.564188858391942,-1.206590094865441,2.2653104678826126
A.16,22:00-00:00,Neutral,Very important,Rarely,Once per week,Rarely,Smoker,Very often,Balanced,Do them when asked,Avoid confrontation,Reliability in shared spaces,Very,Slightly compatible,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Disagree,Strongly agree,A.16.4,male,27.0,Employed,Russia,85,279,4,4.5,3.5,3.0,3.0,3.5,3,4,1,3,2,5,3,2,4,2.0,1,3,-0.8034645068378314,0.06611674196984049,2.505154101761394,0.9006924205408446,0.5719619591520775,-0.6803445981849241,2.204115475119907
A.16,22:00-00:00,Neutral,Very important,Always,Never,A few times per month,Non-smoker,Never,Very social,Take responsibility for most,Avoid confrontation,Respect for boundaries,Extremely,Moderately compatible,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,A.16.1,unknown,20.0,Student,India,272,95,4,2.0,2.5,3.5,3.0,3.0,3,4,5,1,3,1,5,5,5,3.0,0,0,1.16928554193153,0.7366355668717053,-1.955553031382722,0.9440212341511349,0.6317352785928979,2.2213221734321174,3.8816300393816534
A.16,00:00-02:00,Neutral,Extremely important,Rarely,Once per week,A few times per month,Non-smoker,Sometimes,Balanced,Do my fair share,Avoid confrontation,Reliability in shared spaces,Moderately,Not at all compatible,Agree,Disagree,Strongly disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,A.16.3,female,24.0,Apprentice / Trainee,Poland,55,309,4,3.5,3.5,3.0,4.0,2.0,3,5,1,3,3,3,3,3,3,1.0,0,2,-1.297438879125394,-1.6351792974405173,0.5241351364539343,0.3565854738114769,0.805979576234489,-0.663815544496724,1.7998989705608879
A.16,00:00-02:00,Somewhat insensitive,Very important,Often,Rarely,A few times per month,Non-smoker,Never,Mostly private,Do them when asked,Try to solve problems through discussion,Reliability in shared spaces,Slightly,Not at all compatible,Agree,Agree,Strongly agree,Disagree,Strongly agree,Agree,A.16.2,female,21.0,Student,France,84,309,4,3.5,3.0,2.5,4.0,3.5,2,4,3,2,3,1,2,2,2,1.0,0,2,-1.3179836053692164,-0.18367534960683618,0.6910168879161674,1.0590911600431285,-0.6587797289464004,-1.147831841177366,1.6904371413557477
A.21,After 02:00,Somewhat insensitive,Very important,Often,Rarely,Rarely,Non-smoker,Rarely,Social & lively,Take responsibility for most,Try to solve problems through discussion,Reliability in shared spaces,Moderately,Slightly compatible,Strongly agree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,A.21.2,male,24.0,Student,Egypt,177,187,2,3.0,3.0,2.5,1.5,3.5,2,4,3,2,2,2,4,5,3,2.0,0,2,-0.11143563277249217,-0.2058824135236625,-0.9319236704994506,1.7142389106242342,-0.615556946966949,0.7905409720839923,0.0
A.22,Before 22:00,Very sensitive,Extremely important,Often,Once per week,A few times per month,Non-smoker,Rarely,Balanced,Often take initiative,Try to solve problems through discussion,Reliability in shared spaces,Moderately,Moderately compatible,Strongly agree,Strongly agree,Disagree,Agree,Agree,Strongly disagree,A.22.3,male,26.0,Student,Italy,85,279,3,2.5,3.0,2.5,3.5,2.5,5,5,3,3,3,2,3,4,3,3.0,0,1,-1.0402707167779202,-0.3102198365048646,-0.2848821716598164,-0.6227046912207748,-0.0019563405817277246,1.5415903775681856,2.065787967501472
A.22,22:00-00:00,Neutral,Extremely important,Sometimes,Rarely,Never,Smoker,Rarely,Very social,Do them when asked,"Be direct, even if uncomfortable",Not important / flexible,Slightly,Extremely compatible,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,A.22.1,male,20.0,Student,Turkey,193,187,3,2.5,3.0,3.0,3.5,3.0,3,5,2,2,1,2,5,2,2,5.0,1,3,-0.5166577906277273,-0.4514942364071483,0.8892937426305642,1.1415979449073095,0.5599603022138783,0.05354275883875573,1.0518703074500677
A.22,22:00-00:00,Neutral,Extremely important,Sometimes,Rarely,Never,Non-smoker,Sometimes,Mostly private,Avoid them,Try to solve problems through discussion,Similar daily routines,Extremely,Slightly compatible,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,A.22.2,male,26.0,Employed,Unknown,147,217,3,3.0,3.5,2.0,3.5,3.5,3,5,2,2,1,3,2,1,5,2.0,0,3,-0.011184386476296129,-0.6407004230012172,1.6602927313080986,-0.20293242792248783,1.3558988713644757,-1.1641472783908315,1.8526209244293446
A.23,After 02:00,Somewhat insensitive,Moderately important,Often,Once per week,Rarely,Non-smoker,Never,Mostly private,Do them when asked,"Be direct, even if uncomfortable",Shared interests / personality fit,Slightly,Slightly compatible,Disagree,Strongly agree,Agree,Agree,Agree,Agree,A.23.2,male,20.0,Student,Egypt,76,309,4,3.5,2.5,2.5,3.5,3.0,2,3,3,3,2,1,2,2,2,2.0,0,2,-1.4218403658581864,0.12951225021895046,-0.2762842187280801,0.744079517817001,-1.755200513564891,-1.7108506756762052,1.6568620293188159
A.23,00:00-02:00,Neutral,Extremely important,Often,Never,Rarely,Non-smoker,Sometimes,Quiet & private,Do my fair share,Try to solve problems through discussion,Reliability in shared spaces,Slightly,Moderately compatible,Agree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly disagree,A.23.1,male,28.0,Job-seeking,India,99,248,4,2.0,3.0,2.5,2.5,3.0,3,5,3,1,2,3,1,3,2,3.0,0,2,-0.6236243861131404,-1.4220806814736158,0.5072464274432814,-0.90610624750454,-0.2734450485035082,-0.2075806646905253,1.8748881444361107
A.23,22:00-00:00,Very insensitive,Very important,Often,Every day,Never,Smoker,Often,Balanced,Avoid them,Try to solve problems through discussion,Similar daily routines,Not at all,Moderately compatible,Disagree,Agree,Strongly agree,Agree,Agree,Strongly disagree,A.23.3,male,24.0,Employed,United States,85,279,4,4.0,4.0,3.0,3.5,3.5,1,4,3,5,1,4,3,1,1,3.0,1,3,-1.16891529061169,0.7534464058856746,2.3040332087640527,0.12186155898211934,-0.354084079076039,-2.487269774739553,2.87804803883642
A.23,22:00-00:00,Neutral,Moderately important,Most of the time,Rarely,Several times per week,Non-smoker,Never,Balanced,Often take initiative,Try to solve problems through discussion,Respect for boundaries,Slightly,Very compatible,Strongly agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,A.23.4,male,19.0,Student,Egypt,85,279,4,3.0,3.5,3.5,2.5,3.0,3,3,4,2,5,1,3,4,2,4.0,0,1,-1.5597147693066984,-0.08179665788681441,-1.7663350403035052,0.32409972495163875,-0.4472902164734514,1.2323208401948522,2.8653643615552093
A.24,22:00-00:00,Neutral,Extremely important,Often,Rarely,Several times per week,Non-smoker,Sometimes,Mostly private,Often take initiative,Try to solve problems through discussion,Not important / flexible,Moderately,Slightly compatible,Agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,A.24.2,female,20.0,Student,Turkey,55,309,2,2.5,3.5,3.0,4.0,3.5,3,5,3,2,5,3,2,4,3,2.0,0,3,-1.230660959165536,-0.3551963527262693,1.5851097701625882,-0.34327205121846666,0.8812828163476024,1.4545720318048208,0.0
